city,job_code,job_level,Headcount,Average Headcount LTM,Voluntary Exits LTM,Expected Exits LTM,Attrition vs Baseline,Attrition p-value,Weighted Average TTC Compa-Ratio,Average Span of Control,Incumbent Headcount,Incumbent Peer Percentile,Recent Hire Headcount,Recent Hire Peer Percentile,Flag Pay Adjustment,Flag Internal Equity,Flag Organizational
Bogotá,DAT,IC3,74,"70,67",24,"9,5333","2,52","0,000059","0,85","7,9",24,"0,5148",50,"0,4929",1,0,0
Bogotá,DAT,IC4,76,"79,42",25,"10,7137","2,33","0,000134","0,85","7,9",36,"0,4863",40,"0,5123",1,0,0
Bogotá,ENG,IC2,30,"30,83",5,"4,1596","1,20","0,402305","0,98","6,5",20,"0,5052",10,"0,4897",0,0,0
Bogotá,ENG,IC3,35,"37,75",7,"5,0927","1,37","0,251487","0,98","6,2",21,"0,4454",14,"0,5819",0,0,0
Bogotá,OPS,IC3,35,"35,08",8,"4,7329","1,69","0,107002","0,95","6,3",25,"0,4506",10,"0,6235",0,0,0
Dublin,ENG,IC5,90,"90,00",9,"12,1414","0,74","0,854023","0,99","7,6",44,"0,2541",46,"0,7352",0,1,0
Miami,ENG,IC3,34,"32,58",5,"4,3956","1,14","0,447982","0,98","6,9",25,"0,4933",9,"0,5185",0,0,0
São Paulo,SAL,IC3,38,"35,08",8,"4,7329","1,69","0,107002","1,00","3,6",23,"0,5029",15,"0,4955",0,0,0
São Paulo,SAL,IC4,46,"48,83",7,"6,5879","1,06","0,487263","0,99","3,7",25,"0,4613",21,"0,5460",0,0,0
São Paulo,SAL,M1,38,"36,58",4,"4,9353","0,81","0,725770","0,98","8,0",13,"0,4803",25,"0,5103",0,0,0
Singapore,RSK,IC2,100,"100,17",28,"13,5130","2,07","0,000373","1,01","15,1",47,"0,4952",53,"0,5043",0,0,1
