employee_id,hire_date,gender,employment_type,exit_date
E00001,2020-04-24,M,Full-time,
E00002,2020-11-23,F,Full-time,
E00003,2019-09-17,M,Full-time,
E00004,2020-01-23,M,Full-time,
E00005,2019-11-18,M,Full-time,
E00006,2022-10-30,M,Full-time,
E00007,2022-05-13,F,Full-time,
E00008,2022-12-14,F,Full-time,
E00009,2021-12-29,F,Full-time,
E00010,2020-12-07,F,Full-time,
E00011,2024-06-07,M,Part-time,
E00012,2023-12-08,F,Full-time,
E00013,2020-12-09,M,Full-time,
E00014,2019-06-01,F,Full-time,
E00015,2021-08-14,M,Full-time,
E00016,2021-03-31,M,Full-time,2025-03-31
E00017,2023-02-11,M,Full-time,2025-03-31
E00018,2021-07-03,M,Full-time,
E00019,2022-01-31,M,Full-time,
E00020,2020-10-01,M,Full-time,2025-02-28
E00021,2020-07-20,M,Full-time,
E00022,2018-01-14,M,Full-time,
E00023,2020-07-26,F,Full-time,2026-08-31
E00024,2023-07-23,F,Full-time,
E00025,2022-03-08,F,Full-time,
E00026,2023-03-04,F,Full-time,
E00027,2021-03-27,M,Full-time,
E00028,2023-05-31,F,Part-time,
E00029,2023-08-26,M,Full-time,
E00030,2023-07-14,F,Full-time,2024-09-30
E00031,2021-08-17,F,Full-time,
E00032,2024-06-28,M,Full-time,
E00033,2023-04-17,M,Full-time,
E00034,2021-12-27,M,Full-time,2024-09-30
E00035,2021-01-17,F,Full-time,
E00036,2021-11-17,N,Full-time,
E00037,2020-03-10,M,Part-time,
E00038,2022-02-01,M,Full-time,
E00039,2021-02-20,F,Full-time,
E00040,2021-03-07,F,Full-time,
E00041,2019-07-16,F,Full-time,
E00042,2023-12-13,F,Full-time,2025-01-31
E00043,2024-03-21,F,Full-time,
E00044,2024-03-31,M,Full-time,
E00045,2022-08-23,M,Full-time,
E00046,2020-06-02,M,Full-time,
E00047,2022-05-21,F,Full-time,
E00048,2022-05-31,M,Full-time,
E00049,2022-06-25,M,Full-time,2024-11-30
E00050,2022-02-27,F,Full-time,
E00051,2019-05-29,M,Part-time,2025-08-31
E00052,2021-02-17,M,Full-time,
E00053,2023-12-24,F,Full-time,
E00054,2013-03-05,F,Full-time,
E00055,2021-01-02,F,Full-time,2025-10-31
E00056,2023-12-24,F,Full-time,
E00057,2023-12-08,F,Full-time,
