snapshot_date,employee_id,city,business_unit,department,job_code,job_level,manager_id,currency_code,base_salary_local,variable_target_pct,fte
2024-09-30,E00001,Bogotá,Risk & Compliance,Fraud Operations,RSK,IC5,E00509,COP,211165660.71,0.1,1.0
2024-09-30,E00002,New York,Technology,Infrastructure,ENG,IC5,E00143,USD,190333.53,0.1,1.0
2024-09-30,E00003,London,Risk & Compliance,Risk Management,RSK,IC2,E03028,GBP,66828.6,0.1,1.0
2024-09-30,E00004,London,Commercial,Marketing,MKT,IC4,E00729,GBP,93146.06,0.12,1.0
2024-09-30,E00005,New York,Technology,Data & Analytics,DAT,IC1,E00469,USD,75284.72,0.1,1.0
2024-09-30,E00006,Mexico City,Technology,Data & Analytics,DAT,IC5,E00422,MXN,1843678.24,0.1,1.0
2024-09-30,E00007,Bogotá,Risk & Compliance,Risk Management,RSK,IC1,E01036,COP,95478502.85,0.1,1.0
2024-09-30,E00008,Dublin,Technology,Platform Engineering,ENG,IC2,E00209,EUR,78331.42,0.1,1.0
2024-09-30,E00009,Singapore,Corporate Services,Legal,LGL,IC5,E00063,SGD,188495.72,0.1,1.0
2024-09-30,E00010,Bogotá,Operations,Customer Support,OPS,IC5,E01014,COP,197472024.27,0.05,1.0
2024-09-30,E00011,Bogotá,Operations,Transaction Operations,OPS,IC2,E00195,COP,93660558.63,0.05,0.8
2024-09-30,E00012,New York,Operations,Customer Support,OPS,IC5,E00906,USD,127968.09,0.05,1.0
2024-09-30,E00013,San Francisco,Risk & Compliance,Risk Management,RSK,IC3,E00042,USD,114741.67,0.1,1.0
2024-09-30,E00014,Dublin,Commercial,Marketing,MKT,IC2,E00848,EUR,54225.7,0.12,1.0
2024-09-30,E00015,Dublin,Operations,Transaction Operations,OPS,IC1,E00206,EUR,41983.62,0.05,1.0
2024-09-30,E00016,Bogotá,Technology,Platform Engineering,ENG,IC2,E00455,COP,135686809.86,0.1,1.0
2024-09-30,E00017,Dublin,Operations,Customer Support,OPS,IC1,E02863,EUR,39777.35,0.05,1.0
2024-09-30,E00018,New York,Corporate Services,Legal,LGL,IC3,E00417,USD,113535.49,0.1,1.0
2024-09-30,E00019,Singapore,Technology,Infrastructure,ENG,IC2,E00750,SGD,116117.05,0.1,1.0
2024-09-30,E00020,New York,Risk & Compliance,Risk Management,RSK,IC4,E01650,USD,136835.73,0.1,1.0
2024-09-30,E00021,Mexico City,Commercial,Marketing,MKT,IC1,E04637,MXN,464745.32,0.12,1.0
2024-09-30,E00022,New York,Product,Design,PRD,IC3,E03923,USD,126725.23,0.12,1.0
2024-09-30,E00023,New York,Product,Design,PRD,IC3,E04639,USD,108611.58,0.12,1.0
2024-09-30,E00024,Singapore,Risk & Compliance,Risk Management,RSK,IC4,E03518,SGD,173888.21,0.1,1.0
2024-09-30,E00025,Bogotá,Technology,Platform Engineering,ENG,IC2,E00661,COP,126490509.79,0.1,1.0
2024-09-30,E00026,Bogotá,Product,Product Management,PRD,M3,,COP,375327570.57,0.12,1.0
2024-09-30,E00027,New York,Technology,Data & Analytics,DAT,IC3,E01495,USD,130528.01,0.1,1.0
2024-09-30,E00028,New York,Commercial,Sales,SAL,IC4,E00921,USD,146429.81,0.25,0.8
2024-09-30,E00029,New York,Operations,Customer Support,OPS,IC1,E00932,USD,53913.74,0.05,1.0
2024-09-30,E00031,Miami,Technology,Platform Engineering,ENG,IC4,E00084,USD,132162.07,0.1,1.0
2024-09-30,E00032,Bogotá,Operations,Customer Support,OPS,IC5,E01020,COP,172000504.47,0.05,1.0
2024-09-30,E00033,Dublin,Operations,Transaction Operations,OPS,IC1,E00303,EUR,35142.16,0.05,1.0
2024-09-30,E00035,Mexico City,Risk & Compliance,Risk Management,RSK,IC1,E02489,MXN,540690.69,0.1,1.0
2024-09-30,E00036,Dublin,Risk & Compliance,Compliance,RSK,IC5,E00136,EUR,123247.6,0.1,1.0
2024-09-30,E00037,Mexico City,Technology,Data & Analytics,DAT,IC4,E00693,MXN,1146138.91,0.1,0.8
2024-09-30,E00038,Bogotá,Risk & Compliance,Compliance,RSK,IC2,E00947,COP,138547762.52,0.1,1.0
2024-09-30,E00039,Singapore,Operations,Transaction Operations,OPS,IC2,E02177,SGD,81822.99,0.05,1.0
2024-09-30,E00040,Bogotá,Operations,Transaction Operations,OPS,IC1,E00549,COP,71930246.0,0.05,1.0
2024-09-30,E00041,Bogotá,Corporate Services,Legal,LGL,IC2,E01235,COP,120564043.53,0.1,1.0
2024-09-30,E00042,San Francisco,Risk & Compliance,Risk Management,RSK,M1,E00588,USD,161552.68,0.1,1.0
2024-09-30,E00043,London,Product,Design,PRD,IC2,E01669,GBP,73463.96,0.12,1.0
2024-09-30,E00044,San Francisco,Technology,Platform Engineering,ENG,IC2,E00328,USD,108128.28,0.1,1.0
2024-09-30,E00045,Singapore,Technology,Infrastructure,ENG,IC1,E01209,SGD,90130.01,0.1,1.0
2024-09-30,E00046,Miami,Corporate Services,Finance,FIN,IC1,E04654,USD,46727.93,0.1,1.0
2024-09-30,E00047,London,Commercial,Sales,SAL,IC4,E00324,GBP,97129.04,0.25,1.0
2024-09-30,E00048,Bogotá,Corporate Services,Human Resources,HRS,IC4,E00459,COP,178430216.33,0.1,1.0
2024-09-30,E00049,São Paulo,Product,Design,PRD,IC2,E04658,BRL,200659.15,0.12,1.0
2024-09-30,E00050,Miami,Commercial,Sales,SAL,IC2,E01386,USD,67084.49,0.25,1.0
2024-09-30,E00051,New York,Technology,Data & Analytics,DAT,IC2,E01616,USD,94662.82,0.1,0.5
2024-09-30,E00052,Dublin,Technology,Platform Engineering,ENG,IC2,E00269,EUR,83119.97,0.1,1.0
2024-09-30,E00053,Dublin,Technology,Platform Engineering,ENG,IC4,E00277,EUR,109947.23,0.1,1.0
2024-09-30,E00054,London,Risk & Compliance,Risk Management,RSK,IC1,E03365,GBP,47494.01,0.1,1.0
2024-09-30,E00055,Singapore,Risk & Compliance,Compliance,RSK,IC3,E00145,SGD,125652.23,0.1,1.0
2024-09-30,E00056,Mexico City,Operations,Transaction Operations,OPS,IC2,E00367,MXN,606949.24,0.05,1.0
2024-09-30,E00057,Singapore,Technology,Data & Analytics,DAT,M1,E01049,SGD,193063.81,0.1,1.0
2024-09-30,E00058,São Paulo,Technology,Platform Engineering,ENG,IC3,E00262,BRL,334697.43,0.1,1.0
2024-09-30,E00059,Bogotá,Commercial,Sales,SAL,IC5,E00270,COP,216535695.31,0.25,1.0
2024-09-30,E00060,London,Operations,Transaction Operations,OPS,M1,E01949,GBP,95395.15,0.05,1.0
2024-09-30,E00061,Miami,Technology,Data & Analytics,DAT,IC2,E00706,USD,91639.7,0.1,1.0
2024-09-30,E00062,Bogotá,Technology,Data & Analytics,DAT,M3,E00661,COP,358968464.12,0.1,1.0
2024-09-30,E00063,Singapore,Corporate Services,Legal,LGL,M1,E00973,SGD,166688.67,0.1,1.0
2024-09-30,E00064,São Paulo,Technology,Platform Engineering,ENG,IC4,E00716,BRL,293442.11,0.1,1.0
2024-09-30,E00065,New York,Commercial,Sales,SAL,IC5,E01747,USD,176646.95,0.25,1.0
2024-09-30,E00066,Dublin,Commercial,Sales,SAL,IC1,E02696,EUR,53863.73,0.25,1.0
2024-09-30,E00068,Miami,Risk & Compliance,Risk Management,RSK,IC2,E00247,USD,68728.32,0.1,1.0
2024-09-30,E00069,Bogotá,Product,Product Management,PRD,IC3,E00026,COP,176102208.16,0.12,1.0
2024-09-30,E00070,Miami,Commercial,Sales,SAL,IC5,E01421,USD,147411.79,0.25,1.0
2024-09-30,E00071,London,Commercial,Account Management,SAL,IC3,E02199,GBP,65720.31,0.25,1.0
2024-09-30,E00072,San Francisco,Product,Design,PRD,IC4,E04673,USD,181400.22,0.12,1.0
2024-09-30,E00073,New York,Commercial,Marketing,MKT,IC4,E00660,USD,133956.81,0.12,1.0
2024-09-30,E00074,London,Technology,Infrastructure,ENG,IC4,E00118,GBP,111837.59,0.1,1.0
2024-09-30,E00075,Bogotá,Technology,Infrastructure,ENG,IC3,E01182,COP,183202969.55,0.1,1.0
2024-09-30,E00076,Singapore,Commercial,Marketing,MKT,IC6,E01459,SGD,237781.98,0.12,1.0
2024-09-30,E00078,São Paulo,Commercial,Sales,SAL,IC2,E02125,BRL,186149.1,0.25,1.0
2024-09-30,E00079,Dublin,Technology,Platform Engineering,ENG,IC3,E00772,EUR,76929.91,0.1,1.0
2024-09-30,E00080,Bogotá,Technology,Platform Engineering,ENG,IC5,E01603,COP,239455570.41,0.1,1.0
2024-09-30,E00081,New York,Technology,Data & Analytics,DAT,IC4,E01646,USD,148305.92,0.1,1.0
2024-09-30,E00082,London,Commercial,Account Management,SAL,IC3,E04672,GBP,90835.95,0.25,1.0
2024-09-30,E00083,Miami,Operations,Transaction Operations,OPS,IC2,E01847,USD,57700.12,0.05,1.0
2024-09-30,E00084,Miami,Technology,Platform Engineering,ENG,M3,E00336,USD,213598.25,0.1,1.0
2024-09-30,E00085,Mexico City,Operations,Transaction Operations,OPS,IC3,E03269,MXN,860192.18,0.05,1.0
2024-09-30,E00086,Bogotá,Corporate Services,Legal,LGL,IC2,E02051,COP,122193384.18,0.1,1.0
2024-09-30,E00087,London,Product,Product Management,PRD,IC2,E01643,GBP,78516.01,0.12,1.0
2024-09-30,E00088,Miami,Product,Product Management,PRD,M1,E03196,USD,144297.65,0.12,1.0
2024-09-30,E00089,Singapore,Operations,Transaction Operations,OPS,IC2,E03016,SGD,72516.51,0.05,1.0
2024-09-30,E00090,London,Technology,Platform Engineering,ENG,IC3,E00852,GBP,98697.39,0.1,1.0
2024-09-30,E00091,San Francisco,Commercial,Sales,SAL,IC3,E02367,USD,104847.64,0.25,1.0
2024-09-30,E00092,Miami,Risk & Compliance,Risk Management,RSK,IC1,E00433,USD,57092.0,0.1,1.0
2024-09-30,E00093,New York,Risk & Compliance,Fraud Operations,RSK,IC4,E02816,USD,146888.61,0.1,1.0
2024-09-30,E00094,Dublin,Technology,Data & Analytics,DAT,M4,,EUR,246265.68,0.1,1.0
2024-09-30,E00095,Mexico City,Operations,Transaction Operations,OPS,IC3,E04125,MXN,639111.03,0.05,1.0
2024-09-30,E00096,Dublin,Product,Product Management,PRD,IC4,E00631,EUR,123501.9,0.12,1.0
2024-09-30,E00097,Bogotá,Corporate Services,Finance,FIN,IC3,E00785,COP,125417491.63,0.1,1.0
2024-09-30,E00098,Singapore,Risk & Compliance,Fraud Operations,RSK,IC5,E01316,SGD,195977.08,0.1,1.0
2024-09-30,E00099,Bogotá,Technology,Infrastructure,ENG,IC4,E01534,COP,225800212.2,0.1,1.0
2024-09-30,E00100,Mexico City,Technology,Data & Analytics,DAT,IC3,E01494,MXN,1169310.4,0.1,1.0
2024-09-30,E00101,São Paulo,Corporate Services,Finance,FIN,IC2,E03354,BRL,202208.95,0.1,1.0
2024-09-30,E00102,Bogotá,Technology,Data & Analytics,DAT,IC2,E00062,COP,117157870.93,0.1,1.0
2024-09-30,E00103,Bogotá,Operations,Customer Support,OPS,IC3,E01058,COP,118530073.37,0.05,1.0
2024-09-30,E00104,Miami,Commercial,Sales,SAL,IC2,E01498,USD,65852.07,0.25,1.0
2024-09-30,E00105,London,Risk & Compliance,Fraud Operations,RSK,IC3,E04688,GBP,78224.81,0.1,1.0
2024-09-30,E00106,London,Operations,Transaction Operations,OPS,IC3,E00060,GBP,67372.08,0.05,1.0
2024-09-30,E00107,Dublin,Technology,Platform Engineering,ENG,IC5,E01866,EUR,135338.09,0.1,1.0
2024-09-30,E00108,Bogotá,Technology,Platform Engineering,ENG,IC3,E02453,COP,175955493.75,0.1,1.0
2024-09-30,E00109,Singapore,Technology,Data & Analytics,DAT,IC4,E00057,SGD,180860.78,0.1,1.0
2024-09-30,E00110,Bogotá,Commercial,Sales,SAL,IC2,E00420,COP,118094180.68,0.25,1.0
2024-09-30,E00111,San Francisco,Corporate Services,Human Resources,HRS,IC3,E04691,USD,97950.09,0.1,1.0
2024-09-30,E00112,Miami,Product,Product Management,PRD,IC3,E00088,USD,91648.09,0.12,1.0
2024-09-30,E00113,Dublin,Commercial,Sales,SAL,IC5,E02776,EUR,127573.23,0.25,1.0
2024-09-30,E00114,Bogotá,Technology,Infrastructure,ENG,IC4,E02035,COP,217315171.55,0.1,1.0
2024-09-30,E00115,Bogotá,Technology,Infrastructure,ENG,IC2,E02196,COP,127588556.32,0.1,1.0
2024-09-30,E00116,New York,Risk & Compliance,Risk Management,RSK,IC4,E04634,USD,148623.52,0.1,1.0
2024-09-30,E00117,Miami,Product,Product Management,PRD,IC6,E03015,USD,189151.71,0.12,1.0
2024-09-30,E00118,London,Technology,Infrastructure,ENG,M2,E04143,GBP,168795.31,0.1,1.0
2024-09-30,E00119,Bogotá,Technology,Platform Engineering,ENG,IC3,E02916,COP,153460908.54,0.1,1.0
2024-09-30,E00120,Miami,Technology,Data & Analytics,DAT,IC4,E00918,USD,135007.66,0.1,1.0
2024-09-30,E00121,Bogotá,Technology,Data & Analytics,DAT,IC1,E00189,COP,101451802.66,0.1,1.0
2024-09-30,E00122,São Paulo,Operations,Transaction Operations,OPS,IC2,E00820,BRL,178220.07,0.05,1.0
2024-09-30,E00123,New York,Operations,Customer Support,OPS,IC1,E01330,USD,64448.03,0.05,1.0
