event_date,employee_id,event_type,event_reason,salary_local_before,salary_local_after,currency_code
2024-09-30,E00071,Promotion,Career Progression,60358.45599090776,65720.30826115237,GBP
2024-09-30,E00177,Promotion,Career Progression,74298.86563349536,84863.79855379074,USD
2024-09-30,E00258,Promotion,Career Progression,81990.84170489326,93774.67774752234,SGD
2024-09-30,E00261,Promotion,Career Progression,159184.15494,178095.99008124878,BRL
2024-09-30,E00295,Promotion,Career Progression,140427.09904316478,159973.47030549418,EUR
2024-09-30,E00303,Promotion,Career Progression,94156.63944840014,107174.22501195986,EUR
2024-09-30,E00425,Promotion,Career Progression,278134500.70974743,302258363.96786225,COP
2024-09-30,E00746,Promotion,Career Progression,138474832.32866675,151589686.89019212,COP
2024-09-30,E00775,Promotion,Career Progression,96265.06502363748,110480.78397859853,USD
2024-09-30,E01024,Promotion,Career Progression,127116106.9525647,142136893.63323888,COP
2024-09-30,E01126,Promotion,Career Progression,149121.3301480609,162097.98891174822,USD
2024-09-30,E01130,Promotion,Career Progression,85505.52418642015,94191.35578990582,USD
2024-09-30,E01154,Promotion,Career Progression,89192.51774196133,99437.06986622026,USD
2024-09-30,E01201,Promotion,Career Progression,210578.07130509894,228612.3267767833,SGD
2024-09-30,E01947,Promotion,Career Progression,120438.99516950457,131910.2387064197,SGD
2024-09-30,E02027,Promotion,Career Progression,89038.6264190478,101693.17171572978,GBP
2024-09-30,E02135,Promotion,Career Progression,71736.66318551877,81278.77660683611,USD
2024-09-30,E02229,Promotion,Career Progression,60257.06540960704,66804.98348950694,SGD
2024-09-30,E02597,Promotion,Career Progression,185410.82895710538,205027.2934326463,SGD
2024-09-30,E02745,Promotion,Career Progression,109471.72916024792,120158.07681845881,USD
2024-09-30,E02761,Promotion,Career Progression,132559.3296141506,144088.0891391377,GBP
2024-09-30,E02854,Promotion,Career Progression,103052.5057244112,117661.77571719864,USD
2024-09-30,E02873,Promotion,Career Progression,123335.09116048025,140033.72304677154,USD
2024-09-30,E03055,Promotion,Career Progression,136400.5906385867,149288.63541615312,USD
2024-09-30,E03119,Promotion,Career Progression,58389.19150572044,64723.167177320436,GBP
2024-09-30,E03415,Promotion,Career Progression,1286652.3408121408,1448405.8333109953,MXN
2024-09-30,E03517,Promotion,Career Progression,84042.1008477363,95745.27358765472,USD
2024-09-30,E03633,Promotion,Career Progression,53306.65741615305,58095.23428943135,USD
2024-09-30,E03771,Promotion,Career Progression,74968.11470938947,85434.2252796567,EUR
2024-09-30,E03828,Promotion,Career Progression,123131.84258891417,134484.56571442477,SGD
2024-09-30,E04337,Promotion,Career Progression,189327973.74376303,211291472.0944657,COP
2024-09-30,E04519,Promotion,Career Progression,324227.0253928349,368605.46952254366,BRL
2024-09-30,E00030,Voluntary Exit,Manager,61137.97413179684,,EUR
2024-09-30,E00034,Voluntary Exit,Compensation,67380.59375496481,,USD
2024-09-30,E00067,Voluntary Exit,Career Growth,118137.76258972746,,USD
2024-09-30,E00077,Involuntary Exit,Restructuring,195828109.9203228,,COP
2024-09-30,E00203,Voluntary Exit,Work-life Balance,58740.83726893305,,EUR
2024-09-30,E00427,Voluntary Exit,Work-life Balance,195200391.6106013,,COP
2024-09-30,E00450,Involuntary Exit,Performance,48825.49198360088,,EUR
2024-09-30,E00491,Voluntary Exit,Compensation,157730.9532768784,,USD
2024-09-30,E00604,Involuntary Exit,Performance,923192.5585529782,,MXN
2024-09-30,E00615,Voluntary Exit,Career Growth,111323.45037546907,,USD
2024-09-30,E00651,Involuntary Exit,Performance,210330.7546230212,,BRL
2024-09-30,E00658,Voluntary Exit,Compensation,115286696.12575051,,COP
2024-09-30,E00691,Voluntary Exit,Relocation,53243.88592475717,,GBP
2024-09-30,E00713,Voluntary Exit,Compensation,71010.14985304294,,SGD
2024-09-30,E00746,Voluntary Exit,Career Growth,151589686.89019212,,COP
2024-09-30,E00771,Voluntary Exit,Manager,152182.81819371396,,SGD
2024-09-30,E00787,Voluntary Exit,Career Growth,83478479.46611923,,COP
2024-09-30,E00817,Voluntary Exit,Other,312586572.8681481,,COP
2024-09-30,E00829,Voluntary Exit,Compensation,98570070.07570581,,COP
2024-09-30,E00862,Voluntary Exit,Compensation,152926.63425131916,,SGD
2024-09-30,E00888,Voluntary Exit,Compensation,192436.60865284354,,EUR
2024-09-30,E00907,Voluntary Exit,Relocation,103496.72625593508,,GBP
2024-09-30,E00929,Voluntary Exit,Career Growth,117443.91414710009,,EUR
2024-09-30,E01039,Involuntary Exit,Performance,137408017.82234353,,COP
2024-09-30,E01092,Voluntary Exit,Relocation,158463939.89567208,,COP
2024-09-30,E01213,Voluntary Exit,Relocation,149679.38613384147,,EUR
2024-09-30,E01268,Voluntary Exit,Work-life Balance,68737.38899283911,,GBP
2024-09-30,E01289,Voluntary Exit,Compensation,94569.41690043171,,EUR
2024-09-30,E01359,Involuntary Exit,Performance,133158.85505315,,USD
2024-09-30,E01480,Voluntary Exit,Compensation,135187.26334621,,SGD
2024-09-30,E01516,Involuntary Exit,Performance,178633.15632445554,,SGD
2024-09-30,E01641,Voluntary Exit,Compensation,144884966.12085593,,COP
2024-09-30,E01732,Voluntary Exit,Manager,131071.70897077756,,USD
2024-09-30,E01758,Voluntary Exit,Career Growth,74006.27257125951,,EUR
2024-09-30,E01773,Voluntary Exit,Work-life Balance,265857.4497907398,,BRL
2024-09-30,E01854,Voluntary Exit,Compensation,152158626.3641324,,COP
2024-09-30,E01881,Voluntary Exit,Career Growth,132667.09918914508,,SGD
2024-09-30,E01930,Voluntary Exit,Compensation,158589.36222919883,,USD
2024-09-30,E01996,Voluntary Exit,Career Growth,191549600.80268112,,COP
2024-09-30,E01997,Voluntary Exit,Career Growth,124572.31762947697,,GBP
2024-09-30,E02204,Voluntary Exit,Compensation,124944.89471261067,,USD
2024-09-30,E02255,Voluntary Exit,Other,98453.5811374367,,EUR
2024-09-30,E02296,Voluntary Exit,Compensation,175114.2132010977,,SGD
2024-09-30,E02382,Voluntary Exit,Manager,151564894.25549015,,COP
2024-09-30,E02402,Voluntary Exit,Compensation,78193.05793656998,,USD
2024-09-30,E02522,Voluntary Exit,Compensation,52954.15871927485,,USD
2024-09-30,E02618,Involuntary Exit,Restructuring,76001.25018051446,,EUR
2024-09-30,E02633,Voluntary Exit,Relocation,402164.67979763186,,BRL
2024-09-30,E02657,Voluntary Exit,Work-life Balance,110714.92395232026,,USD
2024-09-30,E02677,Involuntary Exit,Performance,89193.10615168727,,USD
2024-09-30,E02868,Voluntary Exit,Relocation,119152.12222119894,,EUR
2024-09-30,E02878,Voluntary Exit,Manager,119109.50652763495,,USD
2024-09-30,E03032,Voluntary Exit,Compensation,169181.5931944069,,USD
2024-09-30,E03164,Voluntary Exit,Manager,471005.7428246438,,BRL
2024-09-30,E03223,Voluntary Exit,Compensation,159836.94644860452,,USD
2024-09-30,E03248,Voluntary Exit,Compensation,514210.4273892922,,BRL
2024-09-30,E03255,Involuntary Exit,Performance,68967.59838116425,,USD
2024-09-30,E03291,Involuntary Exit,Performance,168421.87453744453,,USD
2024-09-30,E03310,Voluntary Exit,Compensation,260751425.73816708,,COP
2024-09-30,E03554,Voluntary Exit,Career Growth,161762.03799873902,,EUR
2024-09-30,E03571,Voluntary Exit,Relocation,88790.74501701121,,EUR
2024-09-30,E03663,Voluntary Exit,Career Growth,631239.6336923578,,MXN
2024-09-30,E03981,Voluntary Exit,Manager,1543997.8033166348,,MXN
2024-09-30,E04006,Involuntary Exit,Performance,65204.9706507197,,USD
2024-09-30,E04090,Voluntary Exit,Career Growth,136775.462655934,,USD
2024-09-30,E04230,Voluntary Exit,Career Growth,173409126.64568347,,COP
2024-09-30,E04256,Voluntary Exit,Career Growth,139019820.8430442,,COP
2024-09-30,E04317,Involuntary Exit,Performance,150095430.07580516,,COP
2024-09-30,E04353,Voluntary Exit,Compensation,142499133.4912114,,COP
2024-09-30,E04412,Involuntary Exit,Restructuring,133537.6074899341,,EUR
2024-09-30,E04455,Voluntary Exit,Work-life Balance,315420.8938626115,,BRL
2024-09-30,E04509,Voluntary Exit,Manager,306759.436587398,,BRL
2024-09-30,E04608,Involuntary Exit,Restructuring,87869.6318538491,,SGD
2024-09-30,E04638,Voluntary Exit,Compensation,1105851.816993343,,MXN
2024-09-30,E04675,Involuntary Exit,Performance,228434116.15897897,,COP
2024-09-30,E04707,Voluntary Exit,Manager,100787.4813738348,,USD
2024-09-30,E04768,Hire,Backfill,,193908862.8345622,COP
2024-09-30,E04769,Hire,Backfill,,149415604.68301067,COP
2024-09-30,E04770,Hire,Backfill,,148711746.81883058,COP
2024-09-30,E04771,Hire,Backfill,,178904332.74836546,COP
2024-09-30,E04772,Hire,Backfill,,172231075.33039838,COP
2024-09-30,E04773,Hire,Backfill,,152924.50852667927,EUR
2024-09-30,E04774,Hire,Backfill,,337245.63035879843,BRL
2024-09-30,E04775,Hire,Backfill,,303543.2141582998,BRL
2024-09-30,E04776,Hire,Backfill,,328708.09155276255,BRL
2024-09-30,E04777,Hire,Span Rebalance,,137476.6798418365,EUR
2024-09-30,E04778,Hire,Span Rebalance,,241247619.47672847,COP
2024-09-30,E04779,Hire,Span Rebalance,,1321791.0311596112,MXN
2024-09-30,E04780,Hire,Span Rebalance,,110069.62474929831,GBP
2024-09-30,E04781,Hire,Span Rebalance,,117876.23123944821,EUR
2024-09-30,E04782,Hire,Span Rebalance,,231889352.44536817,COP
2024-09-30,E04783,Hire,Span Rebalance,,105708.48838180276,USD
2024-09-30,E04784,Hire,Span Rebalance,,127186.92006586144,USD
2024-09-30,E04785,Hire,Span Rebalance,,162224.97136447206,SGD
2024-09-30,E04786,Hire,Span Rebalance,,133761.56970212844,USD
2024-09-30,E04787,Hire,Span Rebalance,,127924.18294921872,EUR
2024-09-30,E04788,Hire,Span Rebalance,,234706886.97963458,COP
